Dataset, #TrainingRelease, %Training, %Defective in training,%Defective in testing, Classifier, Balancing, Feature Selection, Sensitivity, TP, FP, TN, FN, Precision,Recall, AUC, Kappa
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,Undersampling,No,Sensitive threshold,112,406,136,0,0.216216,1.000000,0.625461,0.102923
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,Undersampling,No,Sensitive threshold,112,542,0,0,0.171254,1.000000,0.500000,0.000000
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,Undersampling,No,Sensitive threshold,41,50,492,71,0.450549,0.366071,0.636910,0.295823
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,Undersampling,No,Sensitive threshold,52,402,218,3,0.114537,0.945455,0.648534,0.068997
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,Undersampling,No,Sensitive threshold,47,116,504,8,0.288344,0.854545,0.833724,0.352267
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,Undersampling,No,Sensitive threshold,49,463,157,6,0.095703,0.890909,0.572067,0.030116
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,Undersampling,No,Sensitive learning,156,157,117,9,0.498403,0.945455,0.780237,0.316071
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,Undersampling,No,Sensitive learning,94,64,210,71,0.594937,0.569697,0.734495,0.338981
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,Undersampling,No,Sensitive learning,127,141,133,38,0.473881,0.769697,0.627549,0.226923
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,Undersampling,No,Sensitive learning,0,0,321,118,NaN,0.000000,0.639712,0.000000
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,Undersampling,No,Sensitive learning,27,10,311,91,0.729730,0.228814,0.649110,0.252457
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,Undersampling,No,Sensitive learning,10,23,298,108,0.303030,0.084746,0.505491,0.016957
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,Undersampling,No,Sensitive learning,138,358,91,2,0.278226,0.985714,0.825795,0.100473
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,Undersampling,No,Sensitive learning,85,9,440,55,0.904255,0.607143,0.758543,0.661937
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,Undersampling,No,Sensitive learning,86,153,296,54,0.359833,0.614286,0.637194,0.219997
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,Undersampling,No,Sensitive learning,122,322,170,2,0.274775,0.983871,0.838185,0.167623
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,Undersampling,No,Sensitive learning,40,28,464,84,0.588235,0.322581,0.790265,0.319659
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,Undersampling,No,Sensitive learning,102,325,167,22,0.238876,0.822581,0.606863,0.084652
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,Undersampling,No,Sensitive learning,111,339,203,1,0.246667,0.991071,0.834360,0.166404
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,Undersampling,No,Sensitive learning,112,542,0,0,0.171254,1.000000,0.825926,0.000000
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,Undersampling,No,Sensitive learning,41,50,492,71,0.450549,0.366071,0.649603,0.295823
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,Undersampling,No,Sensitive learning,53,377,243,2,0.123256,0.963636,0.812845,0.086584
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,Undersampling,No,Sensitive learning,47,112,508,8,0.295597,0.854545,0.867478,0.362004
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,Undersampling,No,Sensitive learning,49,463,157,6,0.095703,0.890909,0.572067,0.030116
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,Smote,No,No,130,107,167,35,0.548523,0.787879,0.759334,0.365633
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,Smote,No,No,149,263,11,16,0.361650,0.903030,0.718160,-0.043786
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,Smote,No,No,122,106,168,43,0.535088,0.739394,0.674408,0.327649
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,Smote,No,No,0,0,321,118,NaN,0.000000,0.728708,0.000000
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,Smote,No,No,16,2,319,102,0.888889,0.135593,0.659459,0.176717
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,Smote,No,No,6,4,317,112,0.600000,0.050847,0.508118,0.054020
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,Smote,No,No,73,32,417,67,0.695238,0.521429,0.825016,0.492529
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,Smote,No,No,35,3,446,105,0.921053,0.250000,0.768430,0.324728
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,Smote,No,No,81,54,395,59,0.600000,0.578571,0.729621,0.464006
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,Smote,No,No,65,68,424,59,0.488722,0.524194,0.783012,0.375782
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,Smote,No,No,37,22,470,87,0.627119,0.298387,0.824908,0.315528
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,Smote,No,No,86,294,198,38,0.226316,0.693548,0.573777,0.054166
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,Smote,No,No,88,131,411,24,0.401826,0.785714,0.839541,0.394510
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,Smote,No,No,25,16,526,87,0.609756,0.223214,0.833569,0.258764
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,Smote,No,No,75,156,386,37,0.324675,0.669643,0.698224,0.268609
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,Smote,No,No,35,178,442,20,0.164319,0.636364,0.732214,0.151267
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,Smote,No,No,24,15,605,31,0.615385,0.436364,0.877493,0.475152
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,Smote,No,No,39,537,83,16,0.067708,0.709091,0.421481,-0.029540
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,Smote,No,Sensitive threshold,158,217,57,7,0.421333,0.957576,0.582802,0.132151
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,Smote,No,Sensitive threshold,153,265,9,12,0.366029,0.927273,0.480060,-0.030560
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,Smote,No,Sensitive threshold,122,106,168,43,0.535088,0.739394,0.676266,0.327649
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,Smote,No,Sensitive threshold,113,232,89,5,0.327536,0.957627,0.617443,0.146048
