Dataset, #TrainingRelease, %Training, %Defective in training,%Defective in testing, Classifier, Balancing, Feature Selection, Sensitivity, TP, FP, TN, FN, Precision,Recall, AUC, Kappa
ZOOKEEPER,12,0.455541,0.119643,0.174359,Ibk,No,No,Sensitive learning,1,4,318,67,0.200000,0.014706,0.494428,0.003598
ZOOKEEPER,13,0.499549,0.124464,0.061381,Random Forest,No,No,Sensitive learning,11,25,342,13,0.305556,0.458333,0.777816,0.316308
ZOOKEEPER,13,0.499549,0.124464,0.061381,Naive Bayes,No,No,Sensitive learning,12,42,325,12,0.222222,0.500000,0.790645,0.243389
ZOOKEEPER,13,0.499549,0.124464,0.061381,Ibk,No,No,Sensitive learning,7,23,344,17,0.233333,0.291667,0.629825,0.205042
ZOOKEEPER,14,0.543670,0.119344,0.061224,Random Forest,No,No,Sensitive learning,14,21,347,10,0.400000,0.583333,0.868773,0.433420
ZOOKEEPER,14,0.543670,0.119344,0.061224,Naive Bayes,No,No,Sensitive learning,14,42,326,10,0.250000,0.583333,0.750679,0.289062
ZOOKEEPER,14,0.543670,0.119344,0.061224,Ibk,No,No,Sensitive learning,10,15,353,14,0.400000,0.416667,0.698256,0.368725
ZOOKEEPER,15,0.587903,0.114971,0.148990,Random Forest,No,No,Sensitive learning,22,14,323,37,0.611111,0.372881,0.862797,0.394822
ZOOKEEPER,15,0.587903,0.114971,0.148990,Naive Bayes,No,No,Sensitive learning,30,27,310,29,0.526316,0.508475,0.774581,0.434430
ZOOKEEPER,15,0.587903,0.114971,0.148990,Ibk,No,No,Sensitive learning,16,24,313,43,0.400000,0.271186,0.609717,0.230600
ZOOKEEPER,16,0.632589,0.117374,0.151079,Random Forest,No,No,Sensitive learning,42,19,335,21,0.688525,0.666667,0.895435,0.621099
ZOOKEEPER,16,0.632589,0.117374,0.151079,Naive Bayes,No,No,Sensitive learning,33,24,330,30,0.578947,0.523810,0.792507,0.474591
ZOOKEEPER,16,0.632589,0.117374,0.151079,Ibk,No,No,Sensitive learning,27,23,331,36,0.540000,0.428571,0.702852,0.397296
ZOOKEEPER,17,0.679643,0.119708,0.120000,Random Forest,No,No,Sensitive learning,29,16,358,22,0.644444,0.568627,0.884765,0.553991
ZOOKEEPER,17,0.679643,0.119708,0.120000,Naive Bayes,No,No,Sensitive learning,28,32,342,23,0.466667,0.549020,0.834329,0.430642
ZOOKEEPER,17,0.679643,0.119708,0.120000,Ibk,No,No,Sensitive learning,17,18,356,34,0.485714,0.333333,0.643048,0.329897
ZOOKEEPER,18,0.727601,0.119727,0.093023,Random Forest,No,No,Sensitive learning,25,21,369,15,0.543478,0.625000,0.943846,0.535135
ZOOKEEPER,18,0.727601,0.119727,0.093023,Naive Bayes,No,No,Sensitive learning,23,38,352,17,0.377049,0.575000,0.838462,0.386511
ZOOKEEPER,18,0.727601,0.119727,0.093023,Ibk,No,No,Sensitive learning,16,17,373,24,0.484848,0.400000,0.700513,0.386783
ZOOKEEPER,19,0.776123,0.118058,0.102326,Random Forest,No,No,Sensitive learning,35,16,370,9,0.686275,0.795455,0.958814,0.704362
ZOOKEEPER,19,0.776123,0.118058,0.102326,Naive Bayes,No,No,Sensitive learning,26,34,352,18,0.433333,0.590909,0.865933,0.433063
ZOOKEEPER,19,0.776123,0.118058,0.102326,Ibk,No,No,Sensitive learning,26,12,374,18,0.684211,0.590909,0.795808,0.595814
ZOOKEEPER,20,0.824645,0.117132,0.231092,Random Forest,No,No,Sensitive learning,49,29,337,61,0.628205,0.445455,0.780464,0.407698
