Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,Age,Buggy
3.0.0,src/java/main/org/apache/zookeeper/server/ServerCnxn.java,80,5,2,93,75,18.60,80,75,16.00,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/ServerConfig.java,67,5,2,107,67,21.40,67,67,13.40,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/ServerStats.java,140,4,2,148,135,37.00,140,135,35.00,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/SessionTracker.java,58,3,1,66,56,22.00,58,56,19.33,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/SessionTrackerImpl.java,219,5,3,240,220,48.00,219,220,43.80,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/SyncRequestProcessor.java,144,9,4,601,264,66.78,144,262,16.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/TraceFormatter.java,119,4,2,129,117,32.25,119,117,29.75,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/WatchManager.java,113,5,1,131,108,26.20,113,108,22.60,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/ZooKeeperServer.java,616,12,4,1216,924,101.33,616,924,51.33,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,86,3,2,92,74,30.67,86,74,28.67,15,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/ZooTrace.java,92,5,2,193,92,38.60,92,90,18.40,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/auth/AuthenticationProvider.java,81,3,1,89,79,29.67,81,79,27.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/auth/DigestAuthenticationProvider.java,127,4,1,264,127,66.00,127,125,31.75,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/auth/HostAuthenticationProvider.java,67,3,1,77,65,25.67,67,65,22.33,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/auth/IPAuthenticationProvider.java,115,3,1,125,113,41.67,115,113,38.33,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,78,5,2,157,70,31.40,78,68,15.60,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/FileSnap.java,159,5,3,170,134,34.00,159,134,31.80,9,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/FileTxnLog.java,485,4,2,491,480,122.75,485,480,121.25,9,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java,246,4,3,254,236,63.50,246,236,61.50,9,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/SnapShot.java,60,2,2,61,59,30.50,60,59,30.00,9,No
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/TxnLog.java,115,1,1,115,115,115.00,115,115,115.00,9,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/persistence/Util.java,305,3,3,337,336,112.33,305,336,101.67,9,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/AckRequestProcessor.java,45,3,1,54,43,18.00,45,43,15.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,898,8,3,1850,908,231.25,898,906,112.25,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/CommitProcessor.java,189,7,4,393,177,56.14,189,175,27.00,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/Election.java,26,4,2,29,18,7.25,26,18,6.50,20,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,626,11,4,771,501,70.09,626,501,56.91,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/Follower.java,378,9,3,786,369,87.33,378,366,42.00,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerHandler.java,395,9,4,824,391,91.56,395,389,43.89,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java,107,7,4,119,96,17.00,107,96,15.29,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java,85,3,1,94,83,31.33,85,83,28.33,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerSyncRequest.java,34,2,2,34,18,17.00,34,18,17.00,6,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/FollowerZooKeeperServer.java,177,9,4,209,168,23.22,177,168,19.67,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/Leader.java,633,9,4,735,587,81.67,633,587,70.33,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,194,7,3,215,178,30.71,194,178,27.71,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java,88,6,3,106,83,17.67,88,83,14.67,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/ProposalRequestProcessor.java,76,5,3,102,73,20.40,76,73,15.20,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,564,6,3,768,623,128.00,564,623,94.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeer.java,590,14,4,1511,573,107.93,590,571,42.14,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerConfig.java,222,9,3,599,210,66.56,222,208,24.67,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumPeerMain.java,115,4,2,123,112,30.75,115,112,28.75,15,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/QuorumStats.java,81,5,2,115,76,23.00,81,76,16.20,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/SendAckRequestProcessor.java,54,3,1,64,52,21.33,54,52,18.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/quorum/Vote.java,69,5,2,77,45,15.40,69,45,13.80,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,129,1,1,129,129,129.00,129,129,129.00,6,No
